magic,0,2 ,0,0,2 ,8 ,7 ,4 ,1 ,1 ,0,0,2 ,0,0,0,2 ,5 ,3 ,4 ,5 ,2 ,2 ,0,3 ,1 ,7 ,0,0,0,1 ,1 ,1 ,0,0,0,3 ,3 ,2 ,2 ,1 ,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,
owl,0,3 ,0,0,4 ,5 ,2 ,0,0,0,1 ,0,0,0,1 ,0,0,0,0,3 ,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,2 ,0,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
wand,0,0,0,0,0,8 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,4 ,3 ,0,0,0,0,0,1 ,0,0,0,3 ,1 ,0,0,1 ,0,0,0,0,0,0,0,0,0,1 ,0,0,0,3 ,0,0,1 ,0,
study,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
train,0,0,0,0,1 ,4 ,11 ,0,1 ,0,1 ,0,0,0,1 ,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,0,1 ,0,0,0,0,0,0,0,1 ,5 ,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
school,0,0,1 ,1 ,3 ,2 ,1 ,1 ,0,0,0,0,0,0,0,0,0,2 ,0,1 ,1 ,1 ,1 ,0,0,0,5 ,2 ,2 ,0,2 ,5 ,2 ,1 ,1 ,2 ,2 ,2 ,0,1 ,3 ,2 ,2 ,2 ,1 ,2 ,0,3 ,0,1 ,1 ,1 ,0,0,1 ,0,0,
learn,0,1 ,0,0,0,1 ,3 ,0,0,1 ,1 ,1 ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 ,0,0,0,0,0,1 ,2 ,0,0,0,0,2 ,2 ,0,0,1 ,0,0,0,1 ,1 ,0,0,0,
class,0,0,0,0,0,0,0,0,5 ,0,1 ,0,2 ,3 ,1 ,0,0,0,0,0,0,0,0,6 ,0,0,4 ,2 ,2 ,0,1 ,2 ,0,1 ,0,0,1 ,1 ,0,0,0,6 ,6 ,3 ,1 ,1 ,0,1 ,0,0,2 ,0,0,0,0,0,1 ,
fear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 ,1 ,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0,0,0,
teacher,0,0,0,0,0,0,0,2 ,0,1 ,0,1 ,0,0,0,0,0,0,0,0,0,0,1 ,2 ,0,1 ,0,0,0,0,0,2 ,1 ,0,0,0,0,0,0,0,0,0,0,0,2 ,0,0,0,0,0,0,0,0,0,0,0,0,
friend,0,0,3 ,0,0,0,3 ,0,0,0,0,3 ,0,1 ,4 ,0,1 ,3 ,1 ,0,0,1 ,0,0,0,0,2 ,0,0,0,0,1 ,0,1 ,2 ,0,3 ,3 ,0,2 ,2 ,2 ,2 ,0,1 ,2 ,1 ,0,0,1 ,1 ,0,0,1 ,1 ,0,1 ,
